"","PHLAWD","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Abies_lasiocarpa",0,0,0,0,0,1
"2","Achillea_millefolium",1,0,0,0,0,0
"3","Agoseris_aurantiaca",0,0,1,0,0,0
"4","Antennaria_alpina",1,0,1,0,1,1
"5","Antennaria_corymbosa",0,0,0,1,0,0
"6","Antennaria_lanata",0,0,0,0,0,1
"7","Bistorta_vivipara",0,0,1,1,0,0
"8","Boechera_lemmonii",1,0,0,0,0,0
"9","Boechera_microphylla",0,0,0,0,0,1
"10","Bupleurum_americanum",0,0,0,0,1,1
"11","Cassiope_mertensiana",1,0,0,0,0,1
"12","Castilleja_applegatei",1,0,0,0,0,1
"13","Castilleja_cusickii",0,0,0,1,1,0
"14","Castilleja_miniata",0,0,1,1,1,0
"15","Castilleja_rhexiifolia",0,0,0,1,0,0
"16","Cerastium_arvense",0,0,1,0,0,0
"17","Chionophila_tweedyi",0,0,0,0,0,1
"18","Claytonia_megarhiza",0,0,0,0,0,1
"19","Cystopteris_fragilis",0,0,1,0,0,0
"20","Dasiphora_fruticosa",0,0,0,1,0,0
"21","Draba_lonchocarpa",0,0,0,0,1,0
"22","Eremogone_aculeata",1,0,0,0,0,0
"23","Eremogone_congesta",1,0,1,0,0,0
"24","Erigeron_grandiflorus",0,0,0,0,0,1
"25","Eriogonum_flavum",1,0,0,0,0,0
"26","Eriogonum_ovalifolium",1,0,0,0,1,0
"27","Erysimum_asperum",0,1,0,0,0,0
"28","Erythranthe_tilingii",0,0,1,1,0,0
"29","Hieracium_triste",0,0,0,0,0,1
"30","Hulsea_algida",0,0,0,0,1,0
"31","Ivesia_gordonii",1,0,0,0,0,1
"32","Juniperus_communis",0,0,0,0,0,1
"33","Lewisia_pygmaea",0,0,1,0,0,1
"34","Lupinus_argenteus",1,0,0,1,0,0
"35","Packera_subnuda",0,0,1,0,0,0
"36","Parnassia_fimbriata",0,0,0,1,0,0
"37","Pedicularis_groenlandica",0,0,1,1,0,0
"38","Phyllodoce_empetriformis",0,0,1,1,1,1
"39","Phyllodoce_glanduliflora",0,0,1,0,0,1
"40","Pinus_albicaulis",0,0,0,0,0,1
"41","Polemonium_viscosum",0,0,1,0,0,0
"42","Potentilla_brevifolia",0,0,0,0,1,1
"43","Potentilla_glaucophylla",1,0,1,0,0,1
"44","Ranunculus_eschscholtzii",0,0,0,0,0,1
"45","Salix_arctica",0,0,1,1,0,0
"46","Salix_nivalis",1,0,0,0,0,0
"47","Saxifraga_mertensiana",0,0,1,1,0,0
"48","Sedum_lanceolatum",1,0,0,0,0,0
"49","Sibbaldia_procumbens",1,0,1,1,0,1
"50","Silene_acaulis",0,0,0,0,0,1
"51","Solidago_multiradiata",1,0,1,1,0,0
"52","Stenotus_acaulis",1,0,0,0,0,0
"53","Symphyotrichum_foliaceum",1,0,1,0,0,0
"54","Tonestus_lyallii",0,0,0,0,1,0
"55","Veronica_paysoni",0,0,0,0,0,1
"56","Veronica_wormskjoldii",0,0,1,0,0,0
"57","Viola_adunca",0,0,1,0,0,0
