"","Summit","n_collected","n_MiSeq_individuals","n_MiSeq_species","n_PHLAWD","n_talus_collected","n_talus_individuals","n_talus_species","n_talus_PHLAWD","n_meadow_collected","n_meadow_individuals","n_meadow_species","n_meadow_PHLAWD"
"1","Braxon Peak",28,28,27,24,28,28,27,24,NA,NA,NA,NA
"2","Castle Peak",58,47,45,41,58,47,53,41,NA,NA,NA,NA
"3","D.O. Lee Peak",68,61,49,41,39,35,32,26,29,27,27,21
"4","Horstmann Peak",37,34,35,29,37,34,36,29,NA,NA,NA,NA
"5","Hyndman Peak",78,72,68,61,49,46,44,38,29,27,29,24
"6","Mount Cramer",43,40,36,33,43,40,38,33,NA,NA,NA,NA
"7","Salzburger Spitzl",72,64,59,54,47,41,43,37,25,24,24,20
"8","Snowyside Peak",40,36,32,28,40,36,36,28,NA,NA,NA,NA
"9","Thompson Peak",52,45,42,42,18,18,17,15,34,28,31,30
"10","Total",476,419,145,124,359,317,123,102,117,102,76,62
