"","x"
"1","Astragalus_alpinus"
"2","Astragalus_kentrophyta"
"3","Astragalus_eucosmus"
"4","Oxytropis_parryi"
"5","Oxytropis_deflexa"
"6","Lupinus_argenteus"
"7","Potentilla_brevifolia"
"8","Potentilla_glaucophylla"
"9","Ivesia_gordonii"
"10","Drymocallis_glandulosa"
"11","Dasiphora_fruticosa"
"12","Sibbaldia_procumbens"
"13","Salix_nivalis"
"14","Salix_arctica"
"15","Viola_adunca"
"16","Parnassia_fimbriata"
"17","Draba_stenoloba"
"18","Draba_lonchocarpa"
"19","Draba_oligosperma"
"20","Draba_densifolia"
"21","Draba_crassifolia"
"22","Boechera_microphylla"
"23","Boechera_lemmonii"
"24","Erysimum_asperum"
"25","Smelowskia_calycina"
"26","Epilobium_obcordatum"
"27","Saxifraga_oppositifolia"
"28","Saxifraga_bronchialis"
"29","Saxifraga_mertensiana"
"30","Heuchera_parvifolia"
"31","Sedum_lanceolatum"
"32","Micranthes_ferruginea"
"33","Ribes_lacustre"
"34","Cerastium_arvense"
"35","Cerastium_beeringianum"
"36","Minuartia_obtusiloba"
"37","Sabulina_nuttallii"
"38","Eremogone_aculeata"
"39","Eremogone_congesta"
"40","Silene_acaulis"
"41","Claytonia_megarhiza"
"42","Lewisia_pygmaea"
"43","Calyptridium_umbellatum"
"44","Eriogonum_ovalifolium"
"45","Eriogonum_flavum"
"46","Oxyria_digyna"
"47","Bistorta_vivipara"
"48","Solidago_multiradiata"
"49","Tonestus_lyallii"
"50","Stenotus_acaulis"
"51","Ericameria_discoidea"
"52","Erigeron_lonchophyllus"
"53","Erigeron_grandiflorus"
"54","Erigeron_compositus"
"55","Symphyotrichum_foliaceum"
"56","Aster_alpinus"
"57","Antennaria_alpina"
"58","Antennaria_rosea"
"59","Antennaria_microphylla"
"60","Antennaria_umbrinella"
"61","Antennaria_corymbosa"
"62","Antennaria_lanata"
"63","Artemisia_dracunculus"
"64","Achillea_millefolium"
"65","Packera_subnuda"
"66","Hulsea_algida"
"67","Arnica_mollis"
"68","Agoseris_aurantiaca"
"69","Crepis_nana"
"70","Hieracium_triste"
"71","Cirsium_scariosum"
"72","Cirsium_subniveum"
"73","Bupleurum_americanum"
"74","Castilleja_cusickii"
"75","Castilleja_applegatei"
"76","Castilleja_miniata"
"77","Castilleja_rhexiifolia"
"78","Pedicularis_groenlandica"
"79","Erythranthe_tilingii"
"80","Veronica_paysoni"
"81","Veronica_wormskjoldii"
"82","Penstemon_montanus"
"83","Chionophila_tweedyi"
"84","Eritrichium_nanum"
"85","Phacelia_hastata"
"86","Lomatium_idahoense"
"87","Polemonium_viscosum"
"88","Collomia_debilis"
"89","Phlox_diffusa"
"90","Phyllodoce_empetriformis"
"91","Phyllodoce_glanduliflora"
"92","Cassiope_mertensiana"
"93","Androsace_septentrionalis"
"94","Anemone_drummondii"
"95","Aquilegia_flavescens"
"96","Ranunculus_eschscholtzii"
"97","Luzula_hitchcockii"
"98","Pinus_albicaulis"
"99","Abies_lasiocarpa"
"100","Picea_engelmannii"
"101","Juniperus_communis"
"102","Selaginella_densa"
"103","Selaginella_watsonii"
"104","Cystopteris_fragilis"
"105","Cryptogramma_crispa"
