"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Braxon Peak",28,333.959837243386,278.341261622564,29.5767034725802,9589,1.88048595991722,0.958804119588041,10000
"Castle Peak",46,272.761503169082,278.688066574928,22.4862811895044,4201,-0.263563519280905,0.42005799420058,10000
"D.O. Lee Peak",64,247.034857542163,278.377676166027,18.3999358537861,376,-1.70341999412,0.0375962403759624,10000
"Horstmann Peak",33,345.422650219697,278.042628774826,26.9493324711571,9878,2.50024825353228,0.987701229877012,10000
"Hyndman Peak",71,261.574829848692,278.042055786205,17.3955491037663,1794,-0.946634443056924,0.179382061793821,10000
"Mount Cramer",39,277.497495255061,278.174558022424,24.4529270333765,5098,-0.0276884140061783,0.50974902509749,10000
"Salzburger Spitzl",63,256.448585182796,278.297276692795,18.357660570779,1162,-1.19016752846913,0.116188381161884,10000
"Snowyside Peak",37,263.309435897898,278.21829968487,25.2287278570291,3011,-0.590947901593005,0.301069893010699,10000
"Thompson Peak",43,328.276090019934,278.418256875818,23.0305154026823,9783,2.16485963394066,0.978202179782022,10000
